id,unit,skill,use,format,prompt,answer,answer_alt,distractors,explanation
a1-u01-q001,1,grammar,drill,choice,You greet a group of three friends. What do you say?,Dumelang,,Dumela|Sala sentle|Tsamaya sentle,Dumelang is used for two or more people; Dumela is for one person.
a1-u01-q002,1,grammar,drill,choice,You are leaving and your friend is staying. What do you say to them?,Sala sentle,,Tsamaya sentle|Dumela|Robala sentle,"The one who leaves says Sala sentle (""stay well"") to the one staying."
a1-u01-q003,1,grammar,drill,type,"How do you politely address one man (word for ""sir"")?",rra,,,rra addresses one man; borra addresses several men.
a1-u01-q004,1,grammar,drill,choice,"Someone asks you ""Le kae?"" Who are they asking?",two or more people,,one person|themselves|no one,"Le kae? is the plural form of O kae?, asked to more than one person."
a1-u01-q005,1,grammar,drill,type,"Fill in: you are staying and your friend is leaving. You say ""___ sentle.""",Tsamaya,,,"The one who stays says Tsamaya sentle (""go well"") to the one leaving."
a1-u01-q006,1,grammar,checkpoint,choice,You greet two ladies in the morning. What do you say?,"Dumelang, bomma",,"Dumela, mma|Dumela, rra|Dumelang, borra",Two people = Dumelang; ladies = bomma.
a1-u01-q007,1,grammar,checkpoint,choice,It is bedtime. What do you say to someone going to sleep?,Robala sentle,,Tsamaya sentle|Sala sentle|Dumela,Robala sentle is the goodnight farewell.
a1-u01-q008,1,grammar,checkpoint,type,"What phrase means ""thank you""?",Ke a leboga,,,Ke a leboga is the standard way to say thank you.
a1-u01-q009,1,grammar,checkpoint,type,"How do you reply when someone asks ""O tsogile jang?""",Ke tsogile sentle,,,"Ke tsogile sentle is the standard reply, meaning ""I woke up well."""
a1-u01-q010,1,grammar,checkpoint,choice,Two men greet you. How should you greet them back?,"Dumelang, borra",,"Dumela, rra|Dumelang, bomma|Dumela, mma",Two men = borra (plural of rra); more than one person = Dumelang.
a1-u01-q011,1,reading,checkpoint,choice,"In the dialogue, who greets first?",Rra Molefe,,Mma Kagiso|Both together|Neither,"Rra Molefe opens with ""Dumela, mma."""
a1-u01-q012,1,reading,checkpoint,type,How does Mma Kagiso say she woke up?,Ke tsogile sentle,I woke up well,,"She replies ""Ke tsogile sentle"" — I woke up well."
a1-u01-q013,1,reading,checkpoint,choice,How does Rra Molefe say he is feeling?,"Ke teng, ke a leboga",,Ke tsogile sentle|Go siame|Sala sentle,"Rra Molefe replies ""Ke teng, ke a leboga"" — I'm fine, thank you."
a1-u01-q014,1,reading,checkpoint,choice,"Who says ""Sala sentle"" at the end, and why?","Rra Molefe, because he is leaving",,"Mma Kagiso, because she is leaving|Rra Molefe, because Mma Kagiso is leaving|Mma Kagiso, because Rra Molefe is leaving","Mma Kagiso stays and says Tsamaya sentle to Rra Molefe; he is leaving, so he replies Sala sentle."
a1-u02-q001,2,grammar,drill,choice,"Which start do you put on a verb to say ""I""?",Ke,,O|Re|Ba,Ke is the subject concord for I: Ke bua (I speak).
a1-u02-q002,2,grammar,drill,choice,How do you say "They speak Setswana."?,Ba bua Setswana,,Re bua Setswana|Ke bua Setswana|Lo bua Setswana,Ba is the concord for they (bone): Ba bua Setswana.
a1-u02-q003,2,grammar,drill,type,"Fill in: ___ bua Sekgoa. (we)",Re,,,Re is the concord for we (rona): Re bua Sekgoa.
a1-u02-q004,2,grammar,drill,choice,You ask one person where they are from. What do you say?,O tswa kae?,,Le tswa kae?|Ke tswa kae?|Ba tswa kae?,O is the concord for you (one person): O tswa kae?
a1-u02-q005,2,grammar,drill,type,"Fill in: Ke nna Kabelo. ___ nna Neo. (you, one person)",O,,,O is the concord for you (one person): O nna Neo.
a1-u02-q006,2,grammar,drill,type,"Which pronoun stresses ""they"" at the start of a sentence?",bone,,,bone is the emphatic form of they: Bona ba bua Setswana.
a1-u02-q007,2,grammar,drill,choice,"What does ""Leina la me ke Neo."" mean?",My name is Neo.,,Your name is Neo.|His name is Neo.|What is your name?,"Leina la me ke… = my name is…"
a1-u02-q008,2,grammar,drill,choice,"Someone says ""Ga ke tlhaloganye."" What do they mean?",I don't understand,,I don't know you|I am not from here|I don't speak slowly,Ga ke tlhaloganye = I don't understand.
a1-u02-q009,2,grammar,drill,type,You forgot a Setswana word. How do you ask what it is in Setswana?,Ke eng ka Setswana?,,,Ke eng ka Setswana? asks for the Setswana word.
a1-u02-q010,2,grammar,drill,type,"Fill in: Ke bua Sekgoa ___. (only English)",fela,,,fela means only and follows the word it limits: Sekgoa fela.
a1-u02-q011,2,grammar,checkpoint,choice,How do you say "We come from Gaborone."?,Re tswa kwa Gaborone,,Ke tswa kwa Gaborone|Ba tswa kwa Gaborone|O tswa kwa Gaborone,Re is the concord for we: Re tswa kwa Gaborone.
a1-u02-q012,2,grammar,checkpoint,choice,You greet two people and ask where they are from. What do you say?,Le tswa kae?,,O tswa kae?|Ke tswa kae?|Ba tswa kae?,Two or more people take the concord lo: Le tswa kae?
a1-u02-q013,2,grammar,checkpoint,type,"Fill in: ___ ke bua Sekgoa. Wena o bua Setswana. (as for me)",Nna,nna,,Nna stresses I in contrast with wena (you).
